id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3807290E+06,  0.6452979E+07,    35.385,   273.523
           2,  0.3807500E+06,  0.6453037E+07,   948.869,  6372.032
           3,  0.3807758E+06,  0.6452901E+07,    30.770,   214.339
           4,  0.3807930E+06,  0.6452950E+07,    85.178,   784.074
           5,  0.3808354E+06,  0.6452858E+07,    35.309,   202.512
           6,  0.3808357E+06,  0.6452891E+07,   110.101,   481.707
           7,  0.3808708E+06,  0.6452881E+07,    40.451,   166.922
           8,  0.3809069E+06,  0.6452844E+07,  1005.774,  5131.190
           9,  0.3808140E+06,  0.6453008E+07,    40.629,   315.547
          10,  0.3808529E+06,  0.6452940E+07,    38.048,   253.898
          11,  0.3808759E+06,  0.6452984E+07,    62.249,   686.864
          12,  0.3808275E+06,  0.6453075E+07,  1448.874,  7941.240
          13,  0.3809042E+06,  0.6452918E+07,    80.812,   867.613
          14,  0.3809403E+06,  0.6452882E+07,    42.758,   157.794
          15,  0.3809780E+06,  0.6452868E+07,  1054.886,  6965.538
          16,  0.3809272E+06,  0.6452962E+07,    34.309,   199.790
          17,  0.3809751E+06,  0.6452908E+07,    38.443,   164.785
          18,  0.3809607E+06,  0.6452950E+07,   147.037,   620.490
          19,  0.3808894E+06,  0.6453052E+07,    37.141,   294.272
          20,  0.3809505E+06,  0.6452990E+07,    36.054,   269.942
          21,  0.3809518E+06,  0.6453031E+07,    85.968,   901.626
          22,  0.3808913E+06,  0.6453135E+07,  2492.863,  9358.669
          23,  0.3810218E+06,  0.6452933E+07,    57.900,   239.532
          24,  0.3810537E+06,  0.6452912E+07,  1509.373,  7872.311
          25,  0.3810074E+06,  0.6452975E+07,    63.896,   354.812
          26,  0.3809852E+06,  0.6453018E+07,    48.435,   254.989
          27,  0.3810627E+06,  0.6452951E+07,    49.827,   262.027
          28,  0.3810447E+06,  0.6453002E+07,   113.272,   532.327
          29,  0.3809536E+06,  0.6453114E+07,    37.861,   319.231
          30,  0.3810226E+06,  0.6453045E+07,    32.413,   192.065
          31,  0.3810201E+06,  0.6453089E+07,   100.768,  1080.821
          32,  0.3809507E+06,  0.6453203E+07,  2519.193,  9324.774
          33,  0.3811084E+06,  0.6452978E+07,    72.572,   341.530
          34,  0.3811319E+06,  0.6452955E+07,  2368.627,  8895.958
          35,  0.3810904E+06,  0.6453029E+07,    63.231,   408.703
          36,  0.3810562E+06,  0.6453075E+07,    53.046,   254.574
          37,  0.3811457E+06,  0.6453003E+07,    60.812,   332.794
          38,  0.3811220E+06,  0.6453065E+07,    61.858,   302.094
          39,  0.3811562E+06,  0.6453058E+07,   125.556,  1419.432
          40,  0.3810171E+06,  0.6453177E+07,    33.558,   297.373
          41,  0.3810878E+06,  0.6453111E+07,    47.034,   312.323
          42,  0.3810849E+06,  0.6453151E+07,   101.991,  1091.601
          43,  0.3810333E+06,  0.6453246E+07,    38.483,   410.851
          44,  0.3810035E+06,  0.6453275E+07,  2484.498,  9351.311
          45,  0.3812044E+06,  0.6453008E+07,  1821.769,  8738.768
          46,  0.3811561E+06,  0.6453096E+07,    47.909,   297.373
          47,  0.3811190E+06,  0.6453144E+07,    57.517,   321.583
          48,  0.3812149E+06,  0.6453062E+07,    57.558,   336.126
          49,  0.3811904E+06,  0.6453129E+07,    62.506,   361.185
          50,  0.3812244E+06,  0.6453123E+07,   132.950,  1735.675
          51,  0.3812707E+06,  0.6453068E+07,  2286.782,  9150.309
          52,  0.3811011E+06,  0.6453220E+07,    41.026,   380.350
          53,  0.3811532E+06,  0.6453176E+07,    46.590,   290.375
          54,  0.3811471E+06,  0.6453216E+07,   111.974,   753.717
          55,  0.3810562E+06,  0.6453285E+07,    38.417,   411.582
          56,  0.3811321E+06,  0.6453252E+07,    35.428,   342.037
          57,  0.3810989E+06,  0.6453306E+07,    81.381,   997.377
          58,  0.3810690E+06,  0.6453334E+07,    50.234,   488.959
          59,  0.3810375E+06,  0.6453357E+07,  1366.864,  8221.320
          60,  0.3812244E+06,  0.6453164E+07,    52.843,   342.079
          61,  0.3811843E+06,  0.6453208E+07,    54.315,   365.508
          62,  0.3812802E+06,  0.6453130E+07,    55.748,   355.235
          63,  0.3812614E+06,  0.6453194E+07,    76.889,   539.269
          64,  0.3813102E+06,  0.6453163E+07,    50.973,   342.591
          65,  0.3813319E+06,  0.6453134E+07,  2372.703,  9183.922
          66,  0.3811756E+06,  0.6453295E+07,    40.779,   548.389
          67,  0.3812213E+06,  0.6453239E+07,    41.094,   262.663
          68,  0.3812084E+06,  0.6453281E+07,   127.404,   640.317
          69,  0.3811424E+06,  0.6453349E+07,    49.051,   511.528
          70,  0.3810802E+06,  0.6453378E+07,    34.949,   475.828
          71,  0.3811313E+06,  0.6453400E+07,    90.412,  1558.434
          72,  0.3812058E+06,  0.6453328E+07,    37.465,   385.475
          73,  0.3811987E+06,  0.6453379E+07,   137.754,  1214.596
          74,  0.3810651E+06,  0.6453441E+07,  1265.016,  8549.905
          75,  0.3812955E+06,  0.6453236E+07,    79.487,   533.550
          76,  0.3812515E+06,  0.6453272E+07,    41.340,   330.159
          77,  0.3813443E+06,  0.6453205E+07,    46.045,   321.223
          78,  0.3813913E+06,  0.6453202E+07,  3266.577,  9781.619
          79,  0.3813271E+06,  0.6453274E+07,    70.929,   591.794
          80,  0.3813736E+06,  0.6453239E+07,    43.365,   284.168
          81,  0.3812689E+06,  0.6453348E+07,   156.787,   941.786
          82,  0.3812831E+06,  0.6453311E+07,    42.046,   293.870
          83,  0.3811162E+06,  0.6453464E+07,    34.135,   476.310
          84,  0.3811877E+06,  0.6453431E+07,    35.529,   412.335
          85,  0.3811736E+06,  0.6453483E+07,   108.438,  1936.657
          86,  0.3811074E+06,  0.6453519E+07,  1590.669,  9117.988
          87,  0.3812618E+06,  0.6453399E+07,    34.823,   376.858
          88,  0.3812531E+06,  0.6453457E+07,   116.637,  1694.070
          89,  0.3813133E+06,  0.6453344E+07,    39.283,   361.945
          90,  0.3813222E+06,  0.6453419E+07,   102.116,  1471.363
          91,  0.3813433E+06,  0.6453382E+07,    43.944,   323.145
          92,  0.3813589E+06,  0.6453312E+07,    72.548,   491.740
          93,  0.3814055E+06,  0.6453277E+07,    39.814,   295.427
          94,  0.3814500E+06,  0.6453270E+07,  2889.145,  9592.821
          95,  0.3813889E+06,  0.6453350E+07,    57.097,   548.599
          96,  0.3814348E+06,  0.6453311E+07,    44.072,   297.545
          97,  0.3811647E+06,  0.6453538E+07,    35.558,   514.320
          98,  0.3812390E+06,  0.6453510E+07,    38.360,   450.209
          99,  0.3812319E+06,  0.6453556E+07,   174.989,  1432.260
         100,  0.3811614E+06,  0.6453591E+07,  2022.690,  9355.502
         101,  0.3813136E+06,  0.6453478E+07,    36.567,   421.389
         102,  0.3812746E+06,  0.6453545E+07,    36.142,   549.233
         103,  0.3813365E+06,  0.6453517E+07,    48.896,   437.117
         104,  0.3813664E+06,  0.6453421E+07,    35.252,   326.905
         105,  0.3813682E+06,  0.6453497E+07,    85.094,  1314.213
         106,  0.3813952E+06,  0.6453462E+07,    43.298,   334.834
         107,  0.3814191E+06,  0.6453389E+07,    78.518,   549.885
         108,  0.3814650E+06,  0.6453350E+07,    37.463,   332.053
         109,  0.3815086E+06,  0.6453338E+07,  2671.039,  9593.369
         110,  0.3814479E+06,  0.6453430E+07,    54.551,   536.785
         111,  0.3814943E+06,  0.6453384E+07,    47.927,   381.443
         112,  0.3812286E+06,  0.6453608E+07,    32.271,   470.431
         113,  0.3813030E+06,  0.6453598E+07,    65.444,   679.794
         114,  0.3812572E+06,  0.6453643E+07,    28.013,   480.046
         115,  0.3812183E+06,  0.6453660E+07,  1781.776,  9282.062
         116,  0.3813648E+06,  0.6453570E+07,    31.180,   421.114
         117,  0.3814181E+06,  0.6453500E+07,    34.958,   352.051
         118,  0.3814140E+06,  0.6453574E+07,    73.996,  1211.992
         119,  0.3814468E+06,  0.6453553E+07,    58.494,   459.195
         120,  0.3813365E+06,  0.6453642E+07,    37.038,   681.952
         121,  0.3813877E+06,  0.6453609E+07,    36.775,   407.351
         122,  0.3814815E+06,  0.6453472E+07,    78.619,   617.693
         123,  0.3815279E+06,  0.6453425E+07,    41.754,   379.228
         124,  0.3815673E+06,  0.6453407E+07,  2704.915,  9795.936
         125,  0.3815101E+06,  0.6453524E+07,    39.290,   432.006
         126,  0.3815572E+06,  0.6453459E+07,    51.690,   380.377
         127,  0.3815532E+06,  0.6453513E+07,   226.394,  1791.253
         128,  0.3812907E+06,  0.6453687E+07,    33.839,   411.680
         129,  0.3812756E+06,  0.6453730E+07,  1509.013,  9132.864
         130,  0.3813629E+06,  0.6453683E+07,    68.919,   785.084
         131,  0.3813193E+06,  0.6453721E+07,    26.984,   400.470
         132,  0.3814696E+06,  0.6453591E+07,    36.732,   389.414
         133,  0.3814142E+06,  0.6453650E+07,    25.485,   391.759
         134,  0.3814598E+06,  0.6453651E+07,    71.212,  1439.307
         135,  0.3815454E+06,  0.6453559E+07,    42.774,   367.198
         136,  0.3815254E+06,  0.6453611E+07,    71.890,  1471.229
         137,  0.3813932E+06,  0.6453732E+07,    25.680,   460.859
         138,  0.3814371E+06,  0.6453689E+07,    35.666,   434.354
         139,  0.3814212E+06,  0.6453720E+07,    99.339,  1110.359
         140,  0.3816259E+06,  0.6453475E+07,  2369.603,  9657.224
         141,  0.3816219E+06,  0.6453529E+07,    53.356,   409.729
         142,  0.3816137E+06,  0.6453586E+07,   111.472,  2259.663
         143,  0.3816846E+06,  0.6453543E+07,  1811.292,  9444.650
         144,  0.3813496E+06,  0.6453770E+07,    36.412,   397.988
         145,  0.3813328E+06,  0.6453799E+07,  1250.859,  8791.228
         146,  0.3814230E+06,  0.6453764E+07,    31.335,   427.821
         147,  0.3813782E+06,  0.6453805E+07,    29.379,   405.953
         148,  0.3814384E+06,  0.6453801E+07,    64.166,   566.226
         149,  0.3815155E+06,  0.6453670E+07,    37.460,   409.004
         150,  0.3814668E+06,  0.6453720E+07,    27.527,   457.784
         151,  0.3815056E+06,  0.6453728E+07,    48.169,  1014.389
         152,  0.3815937E+06,  0.6453637E+07,    40.368,   355.583
         153,  0.3815780E+06,  0.6453690E+07,    88.589,  1505.091
         154,  0.3816765E+06,  0.6453600E+07,    43.805,   356.667
         155,  0.3816234E+06,  0.6453676E+07,    31.799,   405.014
         156,  0.3816753E+06,  0.6453663E+07,   150.531,  1932.655
         157,  0.3814664E+06,  0.6453789E+07,    37.987,   887.376
         158,  0.3814897E+06,  0.6453759E+07,    51.558,   468.589
         159,  0.3817432E+06,  0.6453612E+07,  1742.144,  9323.992
         160,  0.3814173E+06,  0.6453854E+07,    39.913,   396.919
         161,  0.3813900E+06,  0.6453868E+07,  1314.112,  8674.716
         162,  0.3814775E+06,  0.6453851E+07,    40.250,   741.426
         163,  0.3815052E+06,  0.6453797E+07,    24.037,   375.691
         164,  0.3815309E+06,  0.6453833E+07,    38.345,   366.460
         165,  0.3814459E+06,  0.6453889E+07,    31.050,   422.153
         166,  0.3815110E+06,  0.6453891E+07,    73.909,   571.201
         167,  0.3814743E+06,  0.6453924E+07,    22.543,   439.756
         168,  0.3815681E+06,  0.6453748E+07,    35.543,   391.097
         169,  0.3815542E+06,  0.6453804E+07,    64.551,  1663.521
         170,  0.3816597E+06,  0.6453715E+07,    43.918,   422.484
         171,  0.3816385E+06,  0.6453768E+07,    83.650,  2007.157
         172,  0.3817421E+06,  0.6453674E+07,    44.659,   404.997
         173,  0.3817434E+06,  0.6453742E+07,   103.346,  2023.264
         174,  0.3818019E+06,  0.6453680E+07,  1424.799,  9005.863
         175,  0.3814470E+06,  0.6453938E+07,   923.757,  8353.580
         176,  0.3815644E+06,  0.6453873E+07,    24.239,   432.683
         177,  0.3816246E+06,  0.6453824E+07,    35.258,   380.886
         178,  0.3816110E+06,  0.6453873E+07,    82.057,  1208.855
         179,  0.3815498E+06,  0.6453933E+07,    36.190,   778.697
         180,  0.3815955E+06,  0.6453906E+07,    32.823,   348.975
         181,  0.3815131E+06,  0.6453967E+07,    31.748,   382.662
         182,  0.3815036E+06,  0.6454008E+07,   872.852,  8158.339
         183,  0.3815838E+06,  0.6453970E+07,    76.824,   622.193
         184,  0.3815412E+06,  0.6454002E+07,    20.826,   350.511
         185,  0.3817222E+06,  0.6453795E+07,    41.699,   422.743
         186,  0.3816556E+06,  0.6453857E+07,    25.996,   434.740
         187,  0.3818032E+06,  0.6453747E+07,    37.990,   370.629
         188,  0.3817679E+06,  0.6453838E+07,    28.114,   503.243
         189,  0.3818104E+06,  0.6453818E+07,   120.293,  2003.594
         190,  0.3818605E+06,  0.6453748E+07,  1266.915,  8679.604
         191,  0.3816295E+06,  0.6453942E+07,    20.493,   394.845
         192,  0.3817014E+06,  0.6453900E+07,    37.190,   356.706
         193,  0.3816731E+06,  0.6453938E+07,    66.133,  1012.718
         194,  0.3816164E+06,  0.6454008E+07,    31.938,   656.974
         195,  0.3816606E+06,  0.6453975E+07,    31.772,   327.583
         196,  0.3815738E+06,  0.6454040E+07,    29.363,   331.961
         197,  0.3815598E+06,  0.6454078E+07,   811.828,  7896.847
         198,  0.3816494E+06,  0.6454045E+07,    84.950,   496.611
         199,  0.3816017E+06,  0.6454075E+07,    21.158,   331.050
         200,  0.3818031E+06,  0.6453875E+07,    33.512,   412.855
         201,  0.3817324E+06,  0.6453933E+07,    23.863,   412.307
         202,  0.3817877E+06,  0.6453931E+07,    65.601,  1473.239
         203,  0.3818677E+06,  0.6453819E+07,    31.795,   326.485
         204,  0.3818718E+06,  0.6453897E+07,    59.529,  1300.272
         205,  0.3818970E+06,  0.6453853E+07,    39.542,   316.739
         206,  0.3819192E+06,  0.6453816E+07,  1023.574,  8342.210
         207,  0.3816936E+06,  0.6454012E+07,    18.880,   364.945
         208,  0.3817347E+06,  0.6454003E+07,    62.720,  1277.082
         209,  0.3816825E+06,  0.6454083E+07,    30.982,   699.599
         210,  0.3817242E+06,  0.6454045E+07,    33.791,   384.686
         211,  0.3816348E+06,  0.6454113E+07,    31.570,   255.976
         212,  0.3816159E+06,  0.6454149E+07,   826.240,  7659.151
         213,  0.3817221E+06,  0.6454123E+07,    97.607,   494.663
         214,  0.3816629E+06,  0.6454148E+07,    24.220,   296.535
         215,  0.3817900E+06,  0.6454001E+07,    25.215,   477.469
         216,  0.3818564E+06,  0.6453952E+07,    36.850,   445.518
         217,  0.3818483E+06,  0.6454003E+07,    65.465,   991.519
         218,  0.3817638E+06,  0.6454085E+07,    18.280,   458.304
         219,  0.3817947E+06,  0.6454070E+07,    46.064,   833.080
         220,  0.3819233E+06,  0.6453894E+07,    26.484,   318.880
         221,  0.3818900E+06,  0.6453989E+07,    24.230,   482.730
         222,  0.3819526E+06,  0.6453928E+07,    34.301,   320.543
         223,  0.3819778E+06,  0.6453885E+07,   930.892,  8093.655
         224,  0.3817502E+06,  0.6454166E+07,    27.557,   420.916
         225,  0.3817932E+06,  0.6454119E+07,    29.670,   424.302
         226,  0.3817975E+06,  0.6454177E+07,    33.763,   904.406
         227,  0.3816911E+06,  0.6454190E+07,    46.676,   292.398
         228,  0.3816727E+06,  0.6454218E+07,   591.716,  7221.862
         229,  0.3817854E+06,  0.6454208E+07,    87.692,   415.409
         230,  0.3817198E+06,  0.6454225E+07,    26.591,   291.223
         231,  0.3818530E+06,  0.6454072E+07,    25.248,   479.019
         232,  0.3819344E+06,  0.6454030E+07,    35.282,   358.906
         233,  0.3819138E+06,  0.6454078E+07,    52.141,  1094.208
         234,  0.3818535E+06,  0.6454138E+07,    45.307,  1218.311
         235,  0.3819971E+06,  0.6453968E+07,    22.073,   392.377
         236,  0.3820365E+06,  0.6453953E+07,   754.756,  7776.343
         237,  0.3819663E+06,  0.6454067E+07,    22.366,   361.012
         238,  0.3820264E+06,  0.6454003E+07,    30.051,   355.493
         239,  0.3820213E+06,  0.6454054E+07,    65.060,  1391.917
         240,  0.3818578E+06,  0.6454195E+07,    24.675,   433.829
         241,  0.3818220E+06,  0.6454249E+07,    26.314,   390.877
         242,  0.3818766E+06,  0.6454249E+07,    50.569,   699.495
         243,  0.3819143E+06,  0.6454144E+07,    25.292,   484.310
         244,  0.3819156E+06,  0.6454201E+07,    47.711,   969.033
         245,  0.3817564E+06,  0.6454266E+07,    57.667,   310.503
         246,  0.3817312E+06,  0.6454287E+07,   556.136,  6972.483
         247,  0.3818486E+06,  0.6454305E+07,    79.949,   927.287
         248,  0.3817862E+06,  0.6454300E+07,    29.597,   312.593
         249,  0.3819825E+06,  0.6454147E+07,    77.756,  1052.051
         250,  0.3820954E+06,  0.6454021E+07,   647.077,  7293.278
         251,  0.3820375E+06,  0.6454135E+07,    17.875,   275.201
         252,  0.3820903E+06,  0.6454073E+07,    29.324,   352.478
         253,  0.3820795E+06,  0.6454127E+07,    41.154,  1287.531
         254,  0.3819838E+06,  0.6454205E+07,    21.771,   391.689
         255,  0.3820613E+06,  0.6454171E+07,    31.737,   300.265
         256,  0.3820245E+06,  0.6454224E+07,    20.718,   415.833
         257,  0.3821560E+06,  0.6454087E+07,   615.923,  5829.193
         258,  0.3819032E+06,  0.6454305E+07,    26.899,   387.137
         259,  0.3819345E+06,  0.6454255E+07,    23.129,   450.431
         260,  0.3819613E+06,  0.6454300E+07,    62.117,   650.973
         261,  0.3818571E+06,  0.6454355E+07,    25.025,   303.703
         262,  0.3819363E+06,  0.6454355E+07,    59.187,   709.792
         263,  0.3818971E+06,  0.6454375E+07,    19.652,   337.191
         264,  0.3819890E+06,  0.6454250E+07,    89.304,   704.401
         265,  0.3817947E+06,  0.6454350E+07,   621.786,  6577.298
         266,  0.3818683E+06,  0.6454400E+07,   947.310,  6313.527
         267,  0.3821452E+06,  0.6454141E+07,    20.172,   224.296
         268,  0.3821128E+06,  0.6454196E+07,    29.140,   524.130
         269,  0.3821916E+06,  0.6454162E+07,    18.781,   224.666
         270,  0.3822230E+06,  0.6454147E+07,  1218.616,  6110.127
         271,  0.3820760E+06,  0.6454249E+07,    21.215,   222.041
         272,  0.3820158E+06,  0.6454295E+07,    21.816,   374.759
         273,  0.3820704E+06,  0.6454288E+07,    86.433,   692.737
         274,  0.3821593E+06,  0.6454217E+07,    21.390,   220.682
         275,  0.3821167E+06,  0.6454268E+07,    18.174,   190.978
         276,  0.3821642E+06,  0.6454249E+07,    72.305,   551.230
         277,  0.3819943E+06,  0.6454350E+07,    24.095,   394.871
         278,  0.3820449E+06,  0.6454350E+07,    35.376,   448.420
         279,  0.3819475E+06,  0.6454400E+07,    23.652,   273.353
         280,  0.3820374E+06,  0.6454380E+07,    78.055,   751.441
         281,  0.3819905E+06,  0.6454413E+07,    20.422,   293.705
         282,  0.3819513E+06,  0.6454433E+07,  1340.720,  6655.740
         283,  0.3822276E+06,  0.6454189E+07,    21.851,   228.767
         284,  0.3822011E+06,  0.6454237E+07,    19.699,   195.673
         285,  0.3822780E+06,  0.6454224E+07,    19.557,   153.721
         286,  0.3822998E+06,  0.6454192E+07,  2091.658,  7032.336
         287,  0.3820996E+06,  0.6454343E+07,    19.840,   305.248
         288,  0.3821541E+06,  0.6454319E+07,   145.148,   847.718
         289,  0.3821426E+06,  0.6454356E+07,    23.660,   286.477
         290,  0.3820855E+06,  0.6454420E+07,    20.260,   277.836
         291,  0.3821302E+06,  0.6454421E+07,    24.712,   268.144
         292,  0.3822016E+06,  0.6454301E+07,    22.819,   212.561
         293,  0.3822516E+06,  0.6454272E+07,    48.139,   633.498
         294,  0.3821848E+06,  0.6454397E+07,    16.990,   194.678
         295,  0.3822408E+06,  0.6454342E+07,   118.809,   629.040
         296,  0.3820386E+06,  0.6454453E+07,  2599.221,  8704.122
         297,  0.3821277E+06,  0.6454461E+07,  1586.676,  8592.356
         298,  0.3823189E+06,  0.6454242E+07,    20.767,   152.437
         299,  0.3822908E+06,  0.6454313E+07,    18.501,   161.078
         300,  0.3823351E+06,  0.6454320E+07,    30.438,   178.882
         301,  0.3823615E+06,  0.6454256E+07,    19.435,   156.748
         302,  0.3823832E+06,  0.6454225E+07,  1424.560,  6403.318
         303,  0.3822167E+06,  0.6454455E+07,   862.899,  6609.137
         304,  0.3822727E+06,  0.6454400E+07,    17.882,   179.353
         305,  0.3823288E+06,  0.6454359E+07,    69.406,   691.079
         306,  0.3823167E+06,  0.6454391E+07,    20.801,   133.039
         307,  0.3823050E+06,  0.6454439E+07,   506.902,  5774.553
         308,  0.3823995E+06,  0.6454303E+07,    18.535,   128.195
         309,  0.3823610E+06,  0.6454398E+07,    16.418,   125.638
         310,  0.3824180E+06,  0.6454367E+07,    40.261,   388.756
         311,  0.3824675E+06,  0.6454256E+07,  1911.202,  7773.023
         312,  0.3823926E+06,  0.6454437E+07,   771.771,  4549.400
         313,  0.3824495E+06,  0.6454405E+07,     6.364,    45.513
         314,  0.3824860E+06,  0.6454320E+07,    13.761,    92.542
         315,  0.3824728E+06,  0.6454394E+07,     9.345,    61.083
         316,  0.3824883E+06,  0.6454373E+07,    38.527,   395.922
         317,  0.3824594E+06,  0.6454432E+07,     5.123,    38.082
         318,  0.3824665E+06,  0.6454442E+07,     7.495,    60.155
         319,  0.3824779E+06,  0.6454460E+07,   423.972,  4778.306
         320,  0.3825424E+06,  0.6454310E+07,    24.915,   143.913
         321,  0.3825517E+06,  0.6454288E+07,  1196.546,  7041.616
         322,  0.3824982E+06,  0.6454400E+07,     5.939,    42.520
         323,  0.3824897E+06,  0.6454431E+07,    11.198,    75.564
         324,  0.3825447E+06,  0.6454363E+07,     8.563,    64.604
         325,  0.3825260E+06,  0.6454406E+07,     8.462,    47.344
         326,  0.3825354E+06,  0.6454384E+07,    35.074,   305.673
         327,  0.3825848E+06,  0.6454324E+07,    25.434,   146.269
         328,  0.3825662E+06,  0.6454368E+07,    12.606,    75.846
         329,  0.3826205E+06,  0.6454357E+07,    39.674,   725.807
         330,  0.3825082E+06,  0.6454459E+07,    13.805,   101.438
         331,  0.3825175E+06,  0.6454437E+07,    10.419,    84.597
         332,  0.3825290E+06,  0.6454455E+07,     7.422,    51.209
         333,  0.3825543E+06,  0.6454492E+07,   647.100,  5123.778
         334,  0.3826426E+06,  0.6454312E+07,   553.017,  4797.122
         335,  0.3825476E+06,  0.6454411E+07,    10.786,    61.420
         336,  0.3825764E+06,  0.6454447E+07,    42.196,   916.387
         337,  0.3825984E+06,  0.6454402E+07,    32.381,   723.598
         338,  0.3826527E+06,  0.6454392E+07,    25.027,   148.737
         339,  0.3826782E+06,  0.6454345E+07,    29.584,   169.787
         340,  0.3827102E+06,  0.6454379E+07,    35.836,   699.023
         341,  0.3826272E+06,  0.6454438E+07,    21.528,   122.239
         342,  0.3826809E+06,  0.6454428E+07,    29.767,   826.349
         343,  0.3827395E+06,  0.6454330E+07,   510.801,  4600.245
         344,  0.3826017E+06,  0.6454485E+07,    20.124,   124.322
         345,  0.3826515E+06,  0.6454477E+07,    37.954,  1117.246
         346,  0.3826222E+06,  0.6454526E+07,   560.205,  4723.560
         347,  0.3827384E+06,  0.6454416E+07,    24.728,   146.057
         348,  0.3827715E+06,  0.6454364E+07,    30.909,   178.195
         349,  0.3827965E+06,  0.6454410E+07,    40.519,  1225.819
         350,  0.3827052E+06,  0.6454467E+07,    22.588,   129.553
         351,  0.3827595E+06,  0.6454462E+07,    32.438,   854.102
         352,  0.3828335E+06,  0.6454357E+07,   527.743,  6496.686
         353,  0.3826720E+06,  0.6454519E+07,    22.369,   142.489
         354,  0.3827225E+06,  0.6454515E+07,    38.613,   858.001
         355,  0.3826855E+06,  0.6454567E+07,   505.468,  4554.263
         356,  0.3828176E+06,  0.6454456E+07,    26.429,   156.761
         357,  0.3828584E+06,  0.6454402E+07,    31.812,   193.205
         358,  0.3828717E+06,  0.6454460E+07,    50.775,   873.222
         359,  0.3827768E+06,  0.6454510E+07,    24.211,   146.528
         360,  0.3828276E+06,  0.6454513E+07,    39.643,   640.082
         361,  0.3829157E+06,  0.6454407E+07,   624.256,  5246.169
         362,  0.3827359E+06,  0.6454564E+07,    23.559,   167.206
         363,  0.3827836E+06,  0.6454566E+07,    45.559,   853.147
         364,  0.3827396E+06,  0.6454619E+07,   566.118,  4560.133
         365,  0.3828817E+06,  0.6454518E+07,    27.281,   167.659
         366,  0.3829289E+06,  0.6454465E+07,    32.426,   208.163
         367,  0.3829289E+06,  0.6454531E+07,    68.469,   897.592
         368,  0.3828345E+06,  0.6454570E+07,    24.607,   158.359
         369,  0.3828795E+06,  0.6454581E+07,    55.309,   731.071
         370,  0.3829782E+06,  0.6454481E+07,   860.924,  5367.150
         371,  0.3827873E+06,  0.6454622E+07,    23.246,   181.365
         372,  0.3828302E+06,  0.6454632E+07,    57.992,   996.247
         373,  0.3827809E+06,  0.6454682E+07,   613.354,  5066.050
         374,  0.3829267E+06,  0.6454595E+07,    26.174,   167.644
         375,  0.3829781E+06,  0.6454547E+07,    31.467,   209.577
         376,  0.3829690E+06,  0.6454615E+07,    68.701,  1005.741
         377,  0.3828753E+06,  0.6454643E+07,    23.350,   159.960
         378,  0.3829163E+06,  0.6454660E+07,    50.748,   953.705
         379,  0.3830218E+06,  0.6454569E+07,   895.812,  6277.030
         380,  0.3828238E+06,  0.6454691E+07,    21.731,   184.332
         381,  0.3828636E+06,  0.6454706E+07,    55.013,  1168.798
         382,  0.3828109E+06,  0.6454751E+07,   656.111,  5781.793
         383,  0.3829587E+06,  0.6454679E+07,    26.521,   171.927
         384,  0.3830127E+06,  0.6454636E+07,    31.381,   207.146
         385,  0.3830017E+06,  0.6454702E+07,    82.919,  1142.503
         386,  0.3829047E+06,  0.6454722E+07,    23.084,   167.618
         387,  0.3829465E+06,  0.6454742E+07,    59.544,  1015.795
         388,  0.3830569E+06,  0.6454661E+07,  1178.562,  6667.444
         389,  0.3828507E+06,  0.6454765E+07,    21.236,   192.946
         390,  0.3828913E+06,  0.6454782E+07,    65.542,  1227.773
         391,  0.3828361E+06,  0.6454823E+07,   818.673,  6078.650
         392,  0.3829896E+06,  0.6454764E+07,    26.307,   170.987
         393,  0.3830460E+06,  0.6454726E+07,    30.718,   198.257
         394,  0.3830335E+06,  0.6454789E+07,    78.119,  1228.944
         395,  0.3829331E+06,  0.6454802E+07,    22.751,   171.955
         396,  0.3829761E+06,  0.6454824E+07,    59.387,  1080.595
         397,  0.3830908E+06,  0.6454754E+07,  1177.123,  7003.597
         398,  0.3828767E+06,  0.6454840E+07,    21.028,   199.979
         399,  0.3829188E+06,  0.6454859E+07,    67.987,  1323.709
         400,  0.3828614E+06,  0.6454894E+07,   870.132,  6137.602
         401,  0.3830200E+06,  0.6454849E+07,    25.871,   172.043
         402,  0.3830783E+06,  0.6454817E+07,    30.860,   202.261
         403,  0.3830635E+06,  0.6454877E+07,    71.849,  1168.144
         404,  0.3829618E+06,  0.6454881E+07,    22.371,   175.209
         405,  0.3830045E+06,  0.6454907E+07,    54.785,  1091.118
         406,  0.3831226E+06,  0.6454847E+07,  1080.589,  6994.684
         407,  0.3829036E+06,  0.6454914E+07,    20.878,   205.243
         408,  0.3829454E+06,  0.6454936E+07,    63.168,  1264.590
         409,  0.3828863E+06,  0.6454966E+07,   835.043,  6176.497
         410,  0.3830480E+06,  0.6454935E+07,    25.947,   177.217
         411,  0.3831079E+06,  0.6454908E+07,    31.847,   217.430
         412,  0.3830906E+06,  0.6454966E+07,    68.765,  1137.288
         413,  0.3829881E+06,  0.6454962E+07,    22.018,   179.114
         414,  0.3830299E+06,  0.6454990E+07,    51.742,  1065.154
         415,  0.3831513E+06,  0.6454942E+07,  1054.342,  7022.122
         416,  0.3829282E+06,  0.6454989E+07,    20.442,   203.711
         417,  0.3829692E+06,  0.6455015E+07,    61.794,  1275.247
         418,  0.3829085E+06,  0.6455039E+07,   905.092,  6246.238
