Date,BC BASE Flow Local (ML),BC BASE Flow Local + Upstream (ML),BC BASE TN Local (KG),BC BASE TN Local + Upstream (KG),BC BASE TP Local (KG),BC BASE TP Local + Upstream (KG),BC BASE OXY Local (KG),BC BASE OXY Local + Upstream (KG),BC Capped Flow Local (ML),BC Capped Flow Local + Upstream (ML),BC Capped TN Local (KG),BC Capped TN Local + Upstream (KG),BC Capped TP Local (KG),BC Capped TP Local + Upstream (KG),BC Capped OXY Local (KG),BC Capped OXY Local + Upstream (KG),BC Dry Flow Local (ML),BC Dry Flow Local + Upstream (ML),BC Dry TN Local (KG),BC Dry TN Local + Upstream (KG),BC Dry TP Local (KG),BC Dry TP Local + Upstream (KG),BC Dry OXY Local (KG),BC Dry OXY Local + Upstream (KG),BC Wet Flow Local (ML),BC Wet Flow Local + Upstream (ML),BC Wet TN Local (KG),BC Wet TN Local + Upstream (KG),BC Wet TP Local (KG),BC Wet TP Local + Upstream (KG),BC Wet OXY Local (KG),BC Wet OXY Local + Upstream (KG),BC Targets Flow Local (ML),BC Targets Flow Local + Upstream (ML),BC Targets TN Local (KG),BC Targets TN Local + Upstream (KG),BC Targets TP Local (KG),BC Targets TP Local + Upstream (KG),BC Targets OXY Local (KG),BC Targets OXY Local + Upstream (KG),Field Mean TN (mg/L),Field Mean TP (mg/L),Field Mean TCHLA (ug/L),Field Mean Oxygen (mg/L),Field Mean TEMP (C),Field Mean Salinity (psu),SCERM44_2015_2016_ALL Mean TN (mg/L),SCERM44_2015_2016_ALL Mean TP (mg/L),SCERM44_2015_2016_ALL Mean Oxy (mg/L),SCERM44_2015_2016_ALL Mean TCHLA (ug/L),SCERM44_2015_2016_ALL Mean Salinity (psu),SCERM44_2015_2016_Capped_ALL Mean TN (mg/L),SCERM44_2015_2016_Capped_ALL Mean TP (mg/L,)SCERM44_2015_2016_Capped_ALL Mean Oxy (mg/L),SCERM44_2015_2016_Capped_ALL Mean TCHLA (ug/L),SCERM44_2015_2016_Capped_ALL Mean Salinity (psu),SCERM44_2015_2016_Dry_ALL Mean TN (mg/L),SCERM44_2015_2016_Dry_ALL Mean TP (mg/L),SCERM44_2015_2016_Dry_ALL Mean Oxy (mg/L),SCERM44_2015_2016_Dry_ALL Mean TCHLA (ug/L),SCERM44_2015_2016_Dry_ALL Mean Salinity (psu),SCERM44_2015_2016_Target_ALL Mean TN (mg/L),SCERM44_2015_2016_Target_ALL Mean TP (mg/L),SCERM44_2015_2016_Target_ALL Mean Oxy (mg/L),SCERM44_2015_2016_Target_ALL Mean TCHLA (ug/L),SCERM44_2015_2016_Target_ALL Mean Salinity (psu),SCERM44_2017_2018_ALL Mean TN (mg/L),SCERM44_2017_2018_ALL Mean TP (mg/L),SCERM44_2017_2018_ALL Mean Oxy (mg/L),SCERM44_2017_2018_ALL Mean TCHLA (ug/L),SCERM44_2017_2018_ALL Mean Salinity (psu),SCERM44_2017_2018_Wet_ALL Mean TN (mg/L),SCERM44_2017_2018_Wet_ALL Mean TP (mg/L),SCERM44_2017_2018_Wet_ALL Mean Oxy (mg/L),SCERM44_2017_2018_Wet_ALL Mean TCHLA (ug/L),SCERM44_2017_2018_Wet_ALL Mean Salinity (psu),
01/2008,94.0291,800.7466,77.0327,898.0775,6.3582,48.4094,798.3534,5450.9922,94.0291,800.7466,52.4058,561.8313,4.2869,43.7814,798.3534,5450.9922,48.7210,280.5494,36.5015,271.5534,3.0258,12.2594,413.6901,1929.4833,73.1808,693.2045,57.9207,747.3497,4.7890,38.5781,621.9718,4681.4004,94.0291,800.7466,73.0592,748.1391,6.3582,47.9358,798.3534,4681.4004,0.4125,0.0632,4.6500,6.3452,25.8070,31.3772, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
02/2008,268.9114,2082.7930,361.0456,2249.7632,27.9885,271.2788,2427.4455,14150.3233,268.9114,2082.7930,158.0343,1110.8231,11.8694,86.8114,2427.4455,14150.3233,111.6979,830.2694,125.4859,764.3037,9.9266,101.9455,1005.9143,5536.1933,477.2390,3985.3901,747.9033,4723.4142,56.8421,515.5869,4281.2670,26080.2720,268.9114,2082.7930,252.3234,1783.9626,24.6570,174.3685,2427.4455,26080.2720,0.3888,0.0740,5.5625,6.7700,24.7394,33.4879, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
03/2008,124.8998,1034.7696,134.2432,1136.1173,10.6589,132.2332,867.9177,6497.8848,124.8998,1034.7696,71.0833,627.9918,5.5084,51.6180,867.9177,6497.8848,71.5565,538.3670,74.5210,517.0740,5.9223,75.6074,487.7194,3298.5466,98.5824,826.5802,90.6053,886.1435,7.3425,83.0036,707.3434,5274.0642,124.8998,1034.7696,107.7306,903.6159,10.2121,84.7978,867.9177,5274.0642,0.4590,0.0629,5.5400,6.1445,23.1014,35.1781, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
04/2008,849.4675,13553.1533,1181.1322,21810.1322,91.6881,1350.3928,5680.3682,84684.9731,849.4675,13553.1533,505.8161,18291.0478,37.7562,612.2751,5680.3682,84684.9731,302.4000,2300.1235,352.3494,2158.6622,27.8470,377.2883,2006.1866,13976.5829,549.8842,4351.1645,698.6662,4414.8273,54.8294,623.7170,3672.2167,26787.8663,849.4675,13553.1533,798.6515,20231.8589,80.6792,942.3090,5680.3682,26787.8663,0.7900,0.0611,16.7125,8.0938,19.8206,26.6292, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
05/2008,717.2928,6962.4058,878.3394,8910.4773,69.6393,728.5876,5427.2363,50268.5149,717.2928,6962.4058,424.4958,6479.6850,32.1372,277.2053,5427.2363,50268.5149,280.8864,2236.9651,301.4669,2016.7836,24.1194,338.4303,2124.1698,15225.6639,718.5802,6494.1178,909.0891,6568.3225,71.6484,777.4850,5430.8720,46846.2677,717.2928,6962.4058,640.0818,7849.3103,65.5399,476.0426,5427.2363,46846.2677,0.5500,0.0447,6.3500,7.5225,18.5587,28.6771, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
06/2008,1721.0362,18502.2230,2545.1420,24606.2149,197.1507,1782.6740,14259.9874,156755.7521,1721.0362,18502.2230,1046.2603,15676.7911,77.7821,669.5658,14259.9874,156755.7521,737.2339,5434.1626,965.6683,5348.0466,75.6792,828.3529,6097.6053,43740.3105,1638.1094,18692.1216,2416.3587,21313.2894,187.1918,1673.0932,13571.6504,160117.2626,1721.0362,18502.2230,1671.7285,21663.8739,170.4147,1197.3607,14259.9874,160117.2626,0.5180,0.0359,9.3200,7.9100,15.7642,22.9413, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
07/2008,2865.9312,90710.1072,4717.4013,264662.0072,341.5141,12186.6911,25819.8350,909080.4700,2865.9312,90710.1072,1768.2797,227927.1364,128.7022,4947.2158,25819.8350,909080.4700,1297.8403,17463.0902,1791.0927,20834.0379,140.1357,1528.9754,11695.4543,170071.4516,3102.1056,144530.5075,5146.0933,340109.1020,380.4335,19153.0202,27950.2603,1463424.7249,2865.9312,90710.1072,2971.6139,242526.6205,288.9033,5973.1748,25819.8350,1463424.7249,1.1087,0.0559,3.5375,8.2286,13.4319,11.7707, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
08/2008,1840.2422,95248.1549,2707.4335,232189.6260,196.8265,8295.7750,16769.4110,971362.3099,1840.2422,95248.1549,1121.7695,215298.1424,81.7676,5340.2933,16769.4110,971362.3099,988.7443,11406.9600,1269.7621,12303.3472,100.8489,575.0968,9006.6971,111108.6291,1842.5405,114914.7994,2668.9309,290100.6546,197.3235,11945.0371,16792.5119,1175131.3585,1840.2422,95248.1549,1817.6607,221851.8159,178.8820,5793.5575,16769.4110,1175131.3585,1.5438,0.0696,8.9375,9.2658,13.5108,6.7548, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
09/2008,1730.8512,23139.2765,2513.2349,28055.7448,186.5377,1362.0143,15421.8311,210547.3772,1730.8512,23139.2765,1051.8471,21223.9539,77.0295,646.0593,15421.8311,210547.3772,937.2672,5679.9274,1189.9833,5354.7317,94.1176,582.7945,8340.8526,50051.8651,1590.3130,19673.3750,2218.8351,20725.1786,168.9016,1133.0112,14183.4436,179975.9691,1730.8512,23139.2765,1693.8063,25026.0200,167.9523,1012.9098,15421.8311,179975.9691,0.7030,0.0311,11.4200,8.7655,16.8863,13.0490, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
10/2008,1177.8480,16262.3376,1544.8488,19592.2158,119.0037,962.2738,9934.9984,130849.3668,1177.8480,16262.3376,708.6204,15063.6587,52.5938,485.0738,9934.9984,130849.3668,587.5978,3336.3878,668.2565,3075.6386,53.6636,297.0630,4956.8658,26292.3842,1011.9946,11194.5024,1267.2965,10918.0278,99.7310,672.5328,8542.5188,90029.7701,1177.8480,16262.3376,1092.8178,17469.7392,111.0393,724.7574,9934.9984,90029.7701,0.7300,0.0440,7.6625,7.6887,20.6587,14.6186, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
