Zone1
Scenario,Type,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
Capped_44,Local,1794.5607,3291.8264,2698.8451,58125.7165,27333.9734,71237.6146,710096.1634,864876.5795,132386.2406,81073.3646,30147.5451,5838.6934,3100.3328,19610.4283,6386.7362,3053.5239,6733.4083,51585.8057,910921.7451,838736.5778,534923.2710,91506.3750,25897.2516,4833.4321,1872.4672,1784.1629,7085.4261,9394.8524,13385.2178,25100.3960,108585.9277,70092.3516,34931.8739,5892.2024,1978.1564,2015.7461,2002.0461,1295.8873,1583.7559,3089.9576,7280.6556,24709.8693,213790.1022,705392.5884,225637.3858,92748.8084,52839.0505,16847.2631,9180.5333,2502.4988,1108.0626,4472.4595,4773.2511,78233.7538,48296.1595,89852.1770,79912.7074,17979.8552,11355.7781,17747.4158,4610.9178,1265.9983,7146.2628,4262.8107,17901.7525,17003.0113,85758.7684,379607.9416,714000.6978,121867.5980,8909.9311,1793.7917,950.3026,761.9686,1189.2105,2339.9478,34329.6776,115187.5504,455782.1821,232635.6784,226157.4542,57084.2971,11907.3938,5425.6836,2837.2536,6191.1799,6081.4502,7811.6689,10884.3210,17344.2533,34607.6104,289463.7082,65182.5838,8583.2327,2777.5726,1476.9163,2995.5460,9627.9055,30307.7863,50626.5123,110808.3299,168218.5047,672885.6167,650039.6798,345943.4656,101090.2740,10227.4975,2440.1017,2243.3870,1723075.7641,208494.2232,14720.9378,22150.5213,32309.8136,165802.4873,1030895.4665,265311.5814,87897.7644,13240.3562,6046.7399,37025.0124,6719.1389,6643.5920,4712.6964,
Capped_44,Upstream + Local,1794.5607,3291.8264,2698.8451,58125.7165,27333.9734,71237.6146,710096.1634,864876.5795,132386.2406,81073.3646,30147.5451,5838.6934,3100.3328,19610.4283,6386.7362,3053.5239,6733.4083,51585.8057,910921.7451,838736.5778,534923.2710,91506.3750,25897.2516,4833.4321,1872.4672,1784.1629,7085.4261,9394.8524,13385.2178,25100.3960,108585.9277,70092.3516,34931.8739,5892.2024,1978.1564,2015.7461,2002.0461,1295.8873,1583.7559,3089.9576,7280.6556,24709.8693,213790.1022,705392.5884,225637.3858,92748.8084,52839.0505,16847.2631,9180.5333,2502.4988,1108.0626,4472.4595,4773.2511,78233.7538,48296.1595,89852.1770,79912.7074,17979.8552,11355.7781,17747.4158,4610.9178,1265.9983,7146.2628,4262.8107,17901.7525,17003.0113,85758.7684,379607.9416,714000.6978,121867.5980,8909.9311,1793.7917,950.3026,761.9686,1189.2105,2339.9478,34329.6776,115187.5504,455782.1821,232635.6784,226157.4542,57084.2971,11907.3938,5425.6836,2837.2536,6191.1799,6081.4502,7811.6689,10884.3210,17344.2533,34607.6104,289463.7082,65182.5838,8583.2327,2777.5726,1476.9163,2995.5460,9627.9055,30307.7863,50626.5123,110808.3299,168218.5047,672885.6167,650039.6798,345943.4656,101090.2740,10227.4975,2440.1017,2243.3870,1723075.7641,208494.2232,14720.9378,22150.5213,32309.8136,165802.4873,1030895.4665,265311.5814,87897.7644,13240.3562,6046.7399,37025.0124,6719.1389,6643.5920,4712.6964,
Dry_44,Local,514.1163,1352.7108,1299.0005,4176.7273,5318.3707,14443.9211,97073.0375,65032.5269,17326.0216,8530.5652,3316.9362,1481.5673,4379.3508,1151.8898,1083.1705,1087.5026,3319.9804,24112.6642,95597.8638,145657.6331,105611.0966,16853.4738,3098.1439,909.9949,580.1748,582.5993,3817.2080,1716.7649,5984.1238,6085.2009,19322.8722,13831.0339,6989.8486,896.8264,626.0020,995.2997,1202.7671,406.0012,577.7779,1200.4288,4331.9875,10716.3770,36172.3610,87251.4986,51685.4420,13006.5683,5215.9113,10362.2606,763.4876,709.4409,324.7578,1855.7278,2640.1721,22662.2249,5901.5755,16726.7616,16449.4951,1558.6956,2851.3433,2328.6275,1187.3063,264.0187,4634.4192,1038.0476,6994.8035,2824.8578,18164.2462,77319.8867,153575.4116,26802.7838,1296.3848,497.4211,303.1951,213.4934,471.8912,1133.4120,7375.9720,15389.3451,34333.6153,25543.5062,32872.0781,5619.7778,2327.3216,1335.8105,883.1671,2244.5446,3192.7859,3253.4658,5528.1777,6342.0621,9927.5479,36463.5789,9549.0916,929.3952,471.1848,1146.5726,6906.9915,450.8599,5675.5582,7691.8202,11456.0569,15390.2022,47484.4599,78798.8015,56450.0119,13276.0341,1232.5781,1152.0527,15229.4070,161807.1792,10136.2892,1253.0474,3776.3053,4719.3931,18553.0194,123291.0372,32459.2573,6755.8735,1111.6867,2176.5843,13163.1606,884.4078,784.6113,1541.2021,
Dry_44,Upstream + Local,514.1163,1352.7108,1299.0005,4176.7273,5318.3707,14443.9211,97073.0375,65032.5269,17326.0216,8530.5652,3316.9362,1481.5673,4379.3508,1151.8898,1083.1705,1087.5026,3319.9804,24112.6642,95597.8638,145657.6331,105611.0966,16853.4738,3098.1439,909.9949,580.1748,582.5993,3817.2080,1716.7649,5984.1238,6085.2009,19322.8722,13831.0339,6989.8486,896.8264,626.0020,995.2997,1202.7671,406.0012,577.7779,1200.4288,4331.9875,10716.3770,36172.3610,87251.4986,51685.4420,13006.5683,5215.9113,10362.2606,763.4876,709.4409,324.7578,1855.7278,2640.1721,22662.2249,5901.5755,16726.7616,16449.4951,1558.6956,2851.3433,2328.6275,1187.3063,264.0187,4634.4192,1038.0476,6994.8035,2824.8578,18164.2462,77319.8867,153575.4116,26802.7838,1296.3848,497.4211,303.1951,213.4934,471.8912,1133.4120,7375.9720,15389.3451,34333.6153,25543.5062,32872.0781,5619.7778,2327.3216,1335.8105,883.1671,2244.5446,3192.7859,3253.4658,5528.1777,6342.0621,9927.5479,36463.5789,9549.0916,929.3952,471.1848,1146.5726,6906.9915,450.8599,5675.5582,7691.8202,11456.0569,15390.2022,47484.4599,78798.8015,56450.0119,13276.0341,1232.5781,1152.0527,15229.4070,161807.1792,10136.2892,1253.0474,3776.3053,4719.3931,18553.0194,123291.0372,32459.2573,6755.8735,1111.6867,2176.5843,13163.1606,884.4078,784.6113,1541.2021,
Flow_Catch,Local,1794.5607,3291.8264,2698.8451,58125.7165,27333.9734,71237.6146,710096.1634,864876.5795,132386.2406,81073.3646,30147.5451,5838.6934,3100.3328,19610.4283,6386.7362,3053.5239,6733.4083,51585.8057,910921.7451,838736.5778,534923.2710,91506.3750,25897.2516,4833.4321,1872.4672,1784.1629,7085.4261,9394.8524,13385.2178,25100.3960,108585.9277,70092.3516,34931.8739,5892.2024,1978.1564,2015.7461,2002.0461,1295.8873,1583.7559,3089.9576,7280.6556,24709.8693,213790.1022,705392.5884,225637.3858,92748.8084,52839.0505,16847.2631,9180.5333,2502.4988,1108.0626,4472.4595,4773.2511,78233.7538,48296.1595,89852.1770,79912.7074,17979.8552,11355.7781,17747.4158,4610.9178,1265.9983,7146.2628,4262.8107,17901.7525,17003.0113,85758.7684,379607.9416,714000.6978,121867.5980,8909.9311,1793.7917,950.3026,761.9686,1189.2105,2339.9478,34329.6776,115187.5504,455782.1821,232635.6784,226157.4542,57084.2971,11907.3938,5425.6836,2837.2536,6191.1799,6081.4502,7811.6689,10884.3210,17344.2533,34607.6104,289463.7082,65182.5838,8583.2327,2777.5726,1476.9163,2995.5460,9627.9055,30307.7863,50626.5123,110808.3299,168218.5047,672885.6167,650039.6798,345943.4656,101090.2740,10227.4975,2440.1017,2243.3870,1723075.7641,208494.2232,14720.9378,22150.5213,32309.8136,165802.4873,1030895.4665,265311.5814,87897.7644,13240.3562,6046.7399,37025.0124,6719.1389,6643.5920,4712.6964,
Flow_Catch,Upstream + Local,1794.5607,3291.8264,2698.8451,58125.7165,27333.9734,71237.6146,710096.1634,864876.5795,132386.2406,81073.3646,30147.5451,5838.6934,3100.3328,19610.4283,6386.7362,3053.5239,6733.4083,51585.8057,910921.7451,838736.5778,534923.2710,91506.3750,25897.2516,4833.4321,1872.4672,1784.1629,7085.4261,9394.8524,13385.2178,25100.3960,108585.9277,70092.3516,34931.8739,5892.2024,1978.1564,2015.7461,2002.0461,1295.8873,1583.7559,3089.9576,7280.6556,24709.8693,213790.1022,705392.5884,225637.3858,92748.8084,52839.0505,16847.2631,9180.5333,2502.4988,1108.0626,4472.4595,4773.2511,78233.7538,48296.1595,89852.1770,79912.7074,17979.8552,11355.7781,17747.4158,4610.9178,1265.9983,7146.2628,4262.8107,17901.7525,17003.0113,85758.7684,379607.9416,714000.6978,121867.5980,8909.9311,1793.7917,950.3026,761.9686,1189.2105,2339.9478,34329.6776,115187.5504,455782.1821,232635.6784,226157.4542,57084.2971,11907.3938,5425.6836,2837.2536,6191.1799,6081.4502,7811.6689,10884.3210,17344.2533,34607.6104,289463.7082,65182.5838,8583.2327,2777.5726,1476.9163,2995.5460,9627.9055,30307.7863,50626.5123,110808.3299,168218.5047,672885.6167,650039.6798,345943.4656,101090.2740,10227.4975,2440.1017,2243.3870,1723075.7641,208494.2232,14720.9378,22150.5213,32309.8136,165802.4873,1030895.4665,265311.5814,87897.7644,13240.3562,6046.7399,37025.0124,6719.1389,6643.5920,4712.6964,
Targets_44,Local,1794.5607,3291.8264,2698.8451,58125.7165,27333.9734,71237.6146,710096.1634,864876.5795,132386.2406,81073.3646,30147.5451,5838.6934,3100.3328,19610.4283,6386.7362,3053.5239,6733.4083,51585.8057,910921.7451,838736.5778,534923.2710,91506.3750,25897.2516,4833.4321,1872.4672,1784.1629,7085.4261,9394.8524,13385.2178,25100.3960,108585.9277,70092.3516,34931.8739,5892.2024,1978.1564,2015.7461,2002.0461,1295.8873,1583.7559,3089.9576,7280.6556,24709.8693,213790.1022,705392.5884,225637.3858,92748.8084,52839.0505,16847.2631,9180.5333,2502.4988,1108.0626,4472.4595,4773.2511,78233.7538,48296.1595,89852.1770,79912.7074,17979.8552,11355.7781,17747.4158,4610.9178,1265.9983,7146.2628,4262.8107,17901.7525,17003.0113,85758.7684,379607.9416,714000.6978,121867.5980,8909.9311,1793.7917,950.3026,761.9686,1189.2105,2339.9478,34329.6776,115187.5504,455782.1821,232635.6784,226157.4542,57084.2971,11907.3938,5425.6836,2837.2536,6191.1799,6081.4502,7811.6689,10884.3210,17344.2533,34607.6104,289463.7082,65182.5838,8583.2327,2777.5726,1476.9163,2995.5460,9627.9055,30307.7863,50626.5123,110808.3299,168218.5047,672885.6167,650039.6798,345943.4656,101090.2740,10227.4975,2440.1017,2243.3870,1723075.7641,208494.2232,14720.9378,22150.5213,32309.8136,165802.4873,1030895.4665,265311.5814,87897.7644,13240.3562,6046.7399,37025.0124,6719.1389,6643.5920,4712.6964,
Targets_44,Upstream + Local,1794.5607,3291.8264,2698.8451,58125.7165,27333.9734,71237.6146,710096.1634,864876.5795,132386.2406,81073.3646,30147.5451,5838.6934,3100.3328,19610.4283,6386.7362,3053.5239,6733.4083,51585.8057,910921.7451,838736.5778,534923.2710,91506.3750,25897.2516,4833.4321,1872.4672,1784.1629,7085.4261,9394.8524,13385.2178,25100.3960,108585.9277,70092.3516,34931.8739,5892.2024,1978.1564,2015.7461,2002.0461,1295.8873,1583.7559,3089.9576,7280.6556,24709.8693,213790.1022,705392.5884,225637.3858,92748.8084,52839.0505,16847.2631,9180.5333,2502.4988,1108.0626,4472.4595,4773.2511,78233.7538,48296.1595,89852.1770,79912.7074,17979.8552,11355.7781,17747.4158,4610.9178,1265.9983,7146.2628,4262.8107,17901.7525,17003.0113,85758.7684,379607.9416,714000.6978,121867.5980,8909.9311,1793.7917,950.3026,761.9686,1189.2105,2339.9478,34329.6776,115187.5504,455782.1821,232635.6784,226157.4542,57084.2971,11907.3938,5425.6836,2837.2536,6191.1799,6081.4502,7811.6689,10884.3210,17344.2533,34607.6104,289463.7082,65182.5838,8583.2327,2777.5726,1476.9163,2995.5460,9627.9055,30307.7863,50626.5123,110808.3299,168218.5047,672885.6167,650039.6798,345943.4656,101090.2740,10227.4975,2440.1017,2243.3870,1723075.7641,208494.2232,14720.9378,22150.5213,32309.8136,165802.4873,1030895.4665,265311.5814,87897.7644,13240.3562,6046.7399,37025.0124,6719.1389,6643.5920,4712.6964,
Wet_44,Local,1827.0363,6824.8423,2219.8983,9788.0089,22994.8591,77970.7564,1232167.4155,1067091.4054,112859.3061,50309.9037,20521.2326,7683.6962,2431.2571,2219.2492,2272.5054,2614.1094,8912.4021,72486.6584,1335734.8581,758553.3689,401530.5839,81839.9212,29525.5528,3894.2502,1840.4497,1690.3358,5564.7883,3527.1762,16563.2937,18364.6182,202893.6877,92581.4603,30350.4514,2816.1477,1807.6431,2227.6591,2016.6788,1448.7338,1388.9904,2489.1545,9676.8473,31498.6061,416619.4450,647748.5737,176247.8757,68305.0009,53520.4769,36914.8061,1935.8365,9192.4952,1181.5154,3609.8144,12161.9634,111645.9689,55699.5159,80293.9505,44127.1077,6686.7980,23547.7792,16361.2753,5780.4518,1043.3018,7094.3015,2555.1517,48454.3257,42886.5989,239032.8196,493105.0496,428316.5063,92291.8156,3445.3390,1256.7430,831.2733,617.2924,901.4989,1943.7900,54261.9431,223384.6252,634862.2684,227363.7499,141656.5854,36116.4067,9456.3028,4985.8406,2638.6615,9675.7708,4501.1556,6615.6706,27244.2463,29182.7157,61062.1547,384979.2461,51522.7476,3148.0723,2591.8716,9982.1283,32743.7961,3539.5157,12428.5460,22092.4761,90533.4636,176945.4154,934795.0938,462900.3620,210658.4178,51451.5564,4103.9868,3169.7038,4229.2798,3944822.7681,111767.5801,3761.9237,18538.5905,25704.6317,242134.9258,685908.5985,116497.7726,29380.1400,4558.5570,5154.3329,81841.4699,3338.0071,2446.8909,3510.7110,
Wet_44,Upstream + Local,1827.0363,6824.8423,2219.8983,9788.0089,22994.8591,77970.7564,1232167.4155,1067091.4054,112859.3061,50309.9037,20521.2326,7683.6962,2431.2571,2219.2492,2272.5054,2614.1094,8912.4021,72486.6584,1335734.8581,758553.3689,401530.5839,81839.9212,29525.5528,3894.2502,1840.4497,1690.3358,5564.7883,3527.1762,16563.2937,18364.6182,202893.6877,92581.4603,30350.4514,2816.1477,1807.6431,2227.6591,2016.6788,1448.7338,1388.9904,2489.1545,9676.8473,31498.6061,416619.4450,647748.5737,176247.8757,68305.0009,53520.4769,36914.8061,1935.8365,9192.4952,1181.5154,3609.8144,12161.9634,111645.9689,55699.5159,80293.9505,44127.1077,6686.7980,23547.7792,16361.2753,5780.4518,1043.3018,7094.3015,2555.1517,48454.3257,42886.5989,239032.8196,493105.0496,428316.5063,92291.8156,3445.3390,1256.7430,831.2733,617.2924,901.4989,1943.7900,54261.9431,223384.6252,634862.2684,227363.7499,141656.5854,36116.4067,9456.3028,4985.8406,2638.6615,9675.7708,4501.1556,6615.6706,27244.2463,29182.7157,61062.1547,384979.2461,51522.7476,3148.0723,2591.8716,9982.1283,32743.7961,3539.5157,12428.5460,22092.4761,90533.4636,176945.4154,934795.0938,462900.3620,210658.4178,51451.5564,4103.9868,3169.7038,4229.2798,3944822.7681,111767.5801,3761.9237,18538.5905,25704.6317,242134.9258,685908.5985,116497.7726,29380.1400,4558.5570,5154.3329,81841.4699,3338.0071,2446.8909,3510.7110,
